Prediction,Actual,Error %
106.72970000000004,117.6,9.243452380952345
102.35279999999997,94.75,8.024063324538231
104.28620000000002,111.69,6.628883516877049
99.95510000000002,89.98,11.085907979551024
159.13910000000004,152.62,4.271458524439809
132.42270000000005,126.43,4.739935141975829
94.2734,92.44,1.9833405452185173
94.2734,119.11,20.851817647552686
94.2734,74.47,26.59245333691419
94.2734,95.96,1.7576073363901612
85.89820000000005,80.73,6.40183327139854
85.89820000000005,102.46,16.164161624048358
85.89820000000003,65.05,32.049500384319806
85.89820000000005,82.57,4.030761777885495
106.85630000000005,115.76,7.691516931582548
100.15830000000001,93.29,7.362311072998183
103.04530000000001,109.94,6.271329816263403
95.67390000000005,88.6,7.984085778781097
158.5594,149.93,5.755619289001537
131.7879000000001,125.07,5.3713120652435435
101.67009999999995,91.06,11.651768065012021
101.67009999999995,117.32,13.339498806682618
101.67009999999995,73.39,38.53399645728294
101.67009999999995,94.55,7.530512956107828
91.38670000000002,78.74,16.061341122682276
91.38670000000002,99.91,8.530977880092061
91.38670000000002,63.49,43.93873050874156
91.38670000000002,80.56,13.439299900695154
116.25689999999999,147.88,21.384298079523944
116.25689999999999,118.86,2.190055527511368
116.2569,141.16,17.641754037971094
116.25689999999997,113.45,2.4741295724988723
167.84480000000008,183.61,8.586242579380173
139.1291,152.22,8.599986861122064
101.62519999999996,118.39,14.160655460765298
101.62519999999996,149.06,31.822621763048463
101.62519999999995,95.15,6.805254860746131
101.62519999999995,119.8,15.170951585976667
86.66759999999998,103.0,15.856699029126235
86.66759999999996,128.12,32.35435529191386
86.66759999999998,82.81,4.658374592440498
86.66759999999998,103.01,15.864867488593365
114.24500000000006,137.42,16.864357444331198
114.24500000000006,121.22,5.754000989935602
114.24500000000006,119.91,4.7243766157951255
114.24500000000008,105.77,8.012668998770994
158.67039999999994,175.65,9.666723598064367
141.86480000000006,157.29,9.806853582554474
100.11489999999992,103.45,3.223876268728934
100.11489999999995,165.74,39.59520936406423
100.11489999999992,91.26,9.702936664475033
100.11489999999992,146.21,31.52663976472203
86.73590000000006,92.04,5.762820512820457
86.73590000000006,143.82,39.6913502989848
86.73590000000006,82.15,5.5823493609252
86.73590000000004,128.36,32.427625428482365
106.19270000000002,115.7,8.217199654278295
97.43609999999997,94.31,3.314706817940797
101.29169999999996,103.08,1.7348661233993357
92.25560000000004,84.02,9.801951916210482
146.16549999999998,146.23,0.044108596047329245
120.31860000000002,120.24,0.06536926147706493
92.49809999999997,89.74,3.0734343659460337
