Prediction,Actual,% Difference
92.408,5.64,1538.439716
5.692,5.64,0.921985816
5.692,5.64,0.921985816
5.722,5.64,1.453900709
5.722,5.64,1.453900709
51.988,5.64,821.7730496
51.988,5.64,821.7730496
5.736,5.65,1.522123894
5.736,5.65,1.522123894
5.542,5.65,1.911504425
5.542,5.65,1.911504425
5.758,5.65,1.911504425
5.758,5.65,1.911504425
5.766,5.65,2.053097345
5.766,5.65,2.053097345
48.836,5.65,764.3539823
48.836,5.65,764.3539823
5.74,5.66,1.413427562
5.74,5.66,1.413427562
5.642,5.66,0.318021201
5.642,5.66,0.318021201
104.342,5.66,1743.498233
104.342,5.66,1743.498233
5.664,5.66,0.070671378
5.664,5.66,0.070671378
96.954,5.66,1612.968198
96.954,5.66,1612.968198
5.588,5.66,1.272084806
5.588,5.66,1.272084806
98.314,5.67,1633.932981
98.314,5.67,1633.932981
5.588,5.67,1.446208113
5.588,5.67,1.446208113
142.586,5.67,2414.744268
142.586,5.67,2414.744268
51.988,5.67,816.8959436
51.988,5.67,816.8959436
5.668,5.68,0.211267606
5.668,5.68,0.211267606
5.664,5.68,0.281690141
5.664,5.68,0.281690141
5.532,5.68,2.605633803
5.532,5.68,2.605633803
96.954,5.68,1606.93662
96.954,5.68,1606.93662
5.578,5.68,1.795774648
5.578,5.68,1.795774648
5.74,5.68,1.056338028
5.74,5.68,1.056338028
5.738,5.68,1.021126761
5.738,5.68,1.021126761
5.722,5.69,0.562390158
5.722,5.69,0.562390158
5.754,5.69,1.124780316
5.754,5.69,1.124780316
53.046,5.69,832.2671353
53.046,5.69,832.2671353
5.672,5.69,0.316344464
5.672,5.69,0.316344464
5.768,5.69,1.370826011
5.768,5.69,1.370826011
5.502,5.69,3.304042179
5.502,5.69,3.304042179
5.898,5.69,3.655536028
5.898,5.69,3.655536028
5.704,5.69,0.246045694
5.704,5.69,0.246045694
5.824,5.69,2.355008787
5.824,5.69,2.355008787
5.672,5.7,0.49122807
5.672,5.7,0.49122807
97.414,5.7,1609.017544
97.414,5.7,1609.017544
5.61,5.7,1.578947368
5.61,5.7,1.578947368
5.616,5.71,1.646234676
5.616,5.71,1.646234676
5.72,5.71,0.175131349
5.72,5.71,0.175131349
5.76,5.72,0.699300699
5.76,5.72,0.699300699
5.782,5.72,1.083916084
5.782,5.72,1.083916084
97.094,5.72,1597.447552
97.094,5.72,1597.447552
5.574,5.73,2.722513089
5.574,5.73,2.722513089
5.642,5.73,1.535776614
5.642,5.73,1.535776614
5.77,5.73,0.698080279
5.77,5.73,0.698080279
5.864,5.73,2.338568935
5.864,5.73,2.338568935
5.73,5.73,1.55E-14
5.73,5.73,1.55E-14
5.692,5.73,0.663176265
5.692,5.73,0.663176265
5.85,5.74,1.916376307
5.85,5.74,1.916376307
5.76,5.74,0.348432056
5.76,5.74,0.348432056
5.984,5.74,4.25087108
5.984,5.74,4.25087108
5.642,5.75,1.87826087
5.642,5.75,1.87826087
5.772,5.75,0.382608696
5.772,5.75,0.382608696
5.738,5.76,0.381944444
5.738,5.76,0.381944444
5.754,5.76,0.104166667
5.754,5.76,0.104166667
5.76,5.76,0
5.76,5.76,0
5.826,5.77,0.970537262
5.826,5.77,0.970537262
5.88,5.77,1.906412478
5.88,5.77,1.906412478
5.774,5.77,0.06932409
5.774,5.77,0.06932409
5.67,5.77,1.733102253
5.67,5.77,1.733102253
53.328,5.77,824.2287695
53.328,5.77,824.2287695
5.566,5.77,3.535528596
5.566,5.77,3.535528596
106.074,5.78,1735.190311
106.074,5.78,1735.190311
6.402,5.78,10.76124567
6.402,5.78,10.76124567
5.578,5.78,3.494809689
5.578,5.78,3.494809689
5.764,5.78,0.276816609
5.764,5.78,0.276816609
5.67,5.78,1.903114187
5.67,5.78,1.903114187
6.086,5.78,5.294117647
6.086,5.78,5.294117647
5.754,5.78,0.44982699
5.754,5.78,0.44982699
106.708,5.79,1742.970639
106.708,5.79,1742.970639
5.758,5.79,0.552677029
5.758,5.79,0.552677029
5.928,5.79,2.383419689
5.928,5.79,2.383419689
5.796,5.79,0.103626943
5.796,5.79,0.103626943
52.91,5.79,813.8169257
52.91,5.79,813.8169257
142.586,5.79,2362.625216
142.586,5.79,2362.625216
5.826,5.8,0.448275862
5.826,5.8,0.448275862
5.814,5.8,0.24137931
5.814,5.8,0.24137931
56.358,5.8,871.6896552
56.358,5.8,871.6896552
52.858,5.8,811.3448276
52.858,5.8,811.3448276
5.9,5.8,1.724137931
5.9,5.8,1.724137931
107.072,5.8,1746.068966
107.072,5.8,1746.068966
5.732,5.81,1.342512909
5.732,5.81,1.342512909
5.754,5.81,0.963855422
5.754,5.81,0.963855422
5.826,5.81,0.275387263
5.826,5.81,0.275387263
5.82,5.82,1.53E-14
5.82,5.82,1.53E-14
5.81,5.83,0.343053173
5.81,5.83,0.343053173
5.954,5.83,2.126929674
5.954,5.83,2.126929674
5.636,5.83,3.32761578
5.636,5.83,3.32761578
5.814,5.83,0.274442539
5.814,5.83,0.274442539
5.814,5.84,0.445205479
5.814,5.84,0.445205479
5.928,5.84,1.506849315
5.928,5.84,1.506849315
5.97,5.84,2.226027397
5.97,5.84,2.226027397
6.16,5.84,5.479452055
6.16,5.84,5.479452055
5.85,5.84,0.171232877
5.85,5.84,0.171232877
51.37,5.85,778.1196581
51.37,5.85,778.1196581
57.034,5.85,874.9401709
57.034,5.85,874.9401709
6.056,5.85,3.521367521
6.056,5.85,3.521367521
5.658,5.85,3.282051282
5.658,5.85,3.282051282
5.6,5.85,4.273504274
5.6,5.85,4.273504274
5.78,5.85,1.196581197
5.78,5.85,1.196581197
6.004,5.86,2.457337884
6.004,5.86,2.457337884
5.66,5.86,3.412969283
5.66,5.86,3.412969283
5.892,5.86,0.546075085
5.892,5.86,0.546075085
6.068,5.86,3.549488055
6.068,5.86,3.549488055
5.948,5.87,1.32879046
5.948,5.87,1.32879046
5.72,5.87,2.555366269
5.72,5.87,2.555366269
5.66,5.87,3.577512777
5.66,5.87,3.577512777
97.074,5.88,1550.918367
97.074,5.88,1550.918367
5.902,5.88,0.37414966
5.902,5.88,0.37414966
5.6,5.88,4.761904762
5.6,5.88,4.761904762
5.906,5.88,0.442176871
5.906,5.88,0.442176871
6.116,5.88,4.013605442
6.116,5.88,4.013605442
5.892,5.88,0.204081633
5.892,5.88,0.204081633
5.772,5.89,2.003395586
5.772,5.89,2.003395586
5.87,5.89,0.339558574
5.87,5.89,0.339558574
52.91,5.89,798.3022071
52.91,5.89,798.3022071
6.06,5.89,2.886247878
6.06,5.89,2.886247878
5.81,5.89,1.358234295
5.81,5.89,1.358234295
5.954,5.9,0.915254237
5.954,5.9,0.915254237
6.074,5.9,2.949152542
6.074,5.9,2.949152542
5.884,5.9,0.271186441
5.884,5.9,0.271186441
111.324,5.9,1786.847458
111.324,5.9,1786.847458
6.13,5.91,3.72250423
6.13,5.91,3.72250423
5.72,5.91,3.214890017
5.72,5.91,3.214890017
5.93,5.91,0.338409475
5.93,5.91,0.338409475
6.168,5.91,4.365482234
6.168,5.91,4.365482234
5.76,5.91,2.538071066
5.76,5.91,2.538071066
5.712,5.91,3.350253807
5.712,5.91,3.350253807
56.102,5.91,849.2724196
56.102,5.91,849.2724196
52.91,5.92,793.75
52.91,5.92,793.75
51.37,5.92,767.7364865
51.37,5.92,767.7364865
53.212,5.93,797.3355818
53.212,5.93,797.3355818
5.958,5.93,0.472175379
5.958,5.93,0.472175379
5.926,5.93,0.067453626
5.926,5.93,0.067453626
54.094,5.93,812.2091062
