Prediction,Actual,% Difference
66.85333333,3.71,1701.97664
66.85333333,3.71,1701.97664
61.51666667,4.39,1301.290812
61.51666667,4.39,1301.290812
4.23,4.48,5.580357143
4.23,4.48,5.580357143
4.773333333,4.63,3.09575234
4.773333333,4.63,3.09575234
4.72,4.73,0.21141649
4.72,4.73,0.21141649
4.63,4.74,2.320675105
4.63,4.74,2.320675105
89.94,4.84,1758.264463
89.94,4.84,1758.264463
5.013333333,4.87,2.943189596
5.013333333,4.87,2.943189596
5.056666667,4.91,2.987101154
5.056666667,4.91,2.987101154
4.696666667,4.94,4.925775978
4.696666667,4.94,4.925775978
4.803333333,4.95,2.962962963
4.803333333,4.95,2.962962963
78.63666667,4.96,1485.416667
78.63666667,4.96,1485.416667
78.54666667,4.96,1483.602151
78.54666667,4.96,1483.602151
4.723333333,4.99,5.344021376
4.723333333,4.99,5.344021376
5.066666667,5.03,0.728959576
5.066666667,5.03,0.728959576
72.43333333,5.06,1331.488801
72.43333333,5.06,1331.488801
4.72,5.09,7.269155206
4.72,5.09,7.269155206
78.54666667,5.09,1443.156516
78.54666667,5.09,1443.156516
77.22,5.1,1414.117647
77.22,5.1,1414.117647
5.066666667,5.1,0.653594771
5.066666667,5.1,0.653594771
5.056666667,5.12,1.236979167
5.056666667,5.12,1.236979167
77.22,5.12,1408.203125
77.22,5.12,1408.203125
4.72,5.13,7.992202729
4.72,5.13,7.992202729
5.273333333,5.16,2.196382429
5.273333333,5.16,2.196382429
5.903333333,5.2,13.52564103
5.903333333,5.2,13.52564103
5.373333333,5.22,2.937420179
5.373333333,5.22,2.937420179
5.22,5.22,0
5.22,5.22,0
66.85333333,5.22,1180.715198
66.85333333,5.22,1180.715198
5.22,5.22,0
5.22,5.22,0
78.22,5.23,1395.602294
78.22,5.23,1395.602294
5.306666667,5.23,1.465901848
5.306666667,5.23,1.465901848
5.306666667,5.24,1.272264631
5.306666667,5.24,1.272264631
5.306666667,5.25,1.079365079
5.306666667,5.25,1.079365079
78.20333333,5.27,1383.934219
78.20333333,5.27,1383.934219
5.373333333,5.27,1.960784314
5.373333333,5.27,1.960784314
5.17,5.29,2.268431002
5.17,5.29,2.268431002
5.413333333,5.3,2.13836478
5.413333333,5.3,2.13836478
78.54666667,5.31,1379.221594
78.54666667,5.31,1379.221594
85.91,5.33,1511.819887
85.91,5.33,1511.819887
5.473333333,5.33,2.689180738
5.473333333,5.33,2.689180738
5.906666667,5.34,10.61173533
5.906666667,5.34,10.61173533
5.263333333,5.36,1.803482587
5.263333333,5.36,1.803482587
5.27,5.37,1.862197393
5.27,5.37,1.862197393
82.04333333,5.39,1422.139765
82.04333333,5.39,1422.139765
5.81,5.39,7.792207792
5.81,5.39,7.792207792
5.386666667,5.4,0.24691358
5.386666667,5.4,0.24691358
77.88666667,5.43,1334.376918
77.88666667,5.43,1334.376918
5.67,5.43,4.419889503
5.67,5.43,4.419889503
78.20333333,5.44,1337.561275
78.20333333,5.44,1337.561275
5.583333333,5.44,2.634803922
5.583333333,5.44,2.634803922
5.61,5.44,3.125
5.61,5.44,3.125
5.676666667,5.45,4.159021407
5.676666667,5.45,4.159021407
5.84,5.45,7.155963303
5.84,5.45,7.155963303
5.666666667,5.46,3.785103785
5.666666667,5.46,3.785103785
5.51,5.46,0.915750916
5.51,5.46,0.915750916
5.336666667,5.47,2.437538087
5.336666667,5.47,2.437538087
84.52666667,5.48,1442.457421
84.52666667,5.48,1442.457421
5.84,5.48,6.569343066
5.84,5.48,6.569343066
5.546666667,5.48,1.216545012
5.546666667,5.48,1.216545012
5.5,5.49,0.182149362
5.5,5.49,0.182149362
5.466666667,5.49,0.425015179
5.466666667,5.49,0.425015179
5.64,5.5,2.545454545
5.64,5.5,2.545454545
5.423333333,5.5,1.393939394
5.423333333,5.5,1.393939394
79.78,5.5,1350.545455
79.78,5.5,1350.545455
5.31,5.5,3.454545455
5.31,5.5,3.454545455
5.623333333,5.51,2.056866304
5.623333333,5.51,2.056866304
5.63,5.52,1.992753623
5.63,5.52,1.992753623
82.93333333,5.53,1399.698614
82.93333333,5.53,1399.698614
82.93333333,5.53,1399.698614
82.93333333,5.53,1399.698614
5.476666667,5.53,0.964436407
5.476666667,5.53,0.964436407
5.503333333,5.54,0.661853189
5.503333333,5.54,0.661853189
5.386666667,5.54,2.767749699
5.386666667,5.54,2.767749699
78.20333333,5.54,1311.612515
78.20333333,5.54,1311.612515
5.76,5.54,3.971119134
5.76,5.54,3.971119134
5.45,5.54,1.624548736
5.45,5.54,1.624548736
5.78,5.55,4.144144144
5.78,5.55,4.144144144
72.43333333,5.55,1205.105105
72.43333333,5.55,1205.105105
5.65,5.56,1.618705036
5.65,5.56,1.618705036
84.52666667,5.56,1420.263789
84.52666667,5.56,1420.263789
5.34,5.56,3.956834532
5.34,5.56,3.956834532
5.503333333,5.56,1.019184652
5.503333333,5.56,1.019184652
5.62,5.56,1.079136691
5.62,5.56,1.079136691
5.74,5.59,2.683363148
5.74,5.59,2.683363148
5.62,5.59,0.53667263
5.62,5.59,0.53667263
5.733333333,5.59,2.564102564
5.733333333,5.59,2.564102564
84.56333333,5.6,1410.059524
84.56333333,5.6,1410.059524
5.373333333,5.6,4.047619048
5.373333333,5.6,4.047619048
5.593333333,5.6,0.119047619
