Prediction,Actual,Error %
263.98,260.78,98.77291203313136
263.98,260.78,98.77291203313136
263.98,260.78,98.77291203313136
263.98,260.78,98.77291203313136
6.39,6.33,99.05213270142181
6.39,6.33,99.05213270142181
65996.57,65197.35,98.77415263043666
65996.57,65197.35,98.77415263043666
65996.57,65197.35,98.77415263043666
65996.57,65197.35,98.77415263043666
80986.51,79938.13,98.6885107269835
80986.51,79938.13,98.6885107269835
80986.51,79938.13,98.6885107269835
80986.51,79938.13,98.6885107269835
263.98,264.93,99.6414147133205
263.98,264.93,99.6414147133205
263.98,264.93,99.6414147133205
263.98,264.93,99.6414147133205
6.39,6.45,99.06976744186046
6.39,6.45,99.06976744186046
65996.57,66233.61,99.64211523424437
65996.57,66233.61,99.64211523424437
65996.57,66233.61,99.64211523424437
65996.57,66233.61,99.64211523424437
80986.51,82063.39,98.68774614356047
80986.51,82063.39,98.68774614356047
80986.51,82063.39,98.68774614356047
80986.51,82063.39,98.68774614356047
221.66,232.82,95.20659737135985
221.66,232.82,95.20659737135985
221.66,232.82,95.20659737135985
221.66,232.82,95.20659737135985
5.46,5.73,95.28795811518324
5.46,5.73,95.28795811518324
55417.22,58205.8,95.20910287290957
55417.22,58205.8,95.20910287290957
55417.22,58205.8,95.20910287290957
55417.22,58205.8,95.20910287290957
68244.01,70941.94,96.19698869244341
68244.01,70941.94,96.19698869244341
68244.01,70941.94,96.19698869244341
68244.01,70941.94,96.19698869244341
255.74,233.73,90.58315149959354
255.74,233.73,90.58315149959354
255.74,233.73,90.58315149959354
255.74,233.73,90.58315149959354
6.29,5.78,91.1764705882353
6.29,5.78,91.1764705882353
63935.08,58432.67,90.58333291975191
63935.08,58432.67,90.58333291975191
63935.08,58432.67,90.58333291975191
63935.08,58432.67,90.58333291975191
77036.39,70290.46,90.40278012122842
77036.39,70290.46,90.40278012122842
77036.39,70290.46,90.40278012122842
77036.39,70290.46,90.40278012122842
275.1,275.8,99.74619289340102
275.1,275.8,99.74619289340102
275.1,275.8,99.74619289340102
275.1,275.8,99.74619289340102
6.81,6.82,99.85337243401759
6.81,6.82,99.85337243401759
68775.29,68950.11,99.74645435663554
68775.29,68950.11,99.74645435663554
68775.29,68950.11,99.74645435663554
68775.29,68950.11,99.74645435663554
83534.13,83652.64,99.85833083092179
83534.13,83652.64,99.85833083092179
83534.13,83652.64,99.85833083092179
83534.13,83652.64,99.85833083092179
274.08,277.9,98.62540482187838
274.08,277.9,98.62540482187838
274.08,277.9,98.62540482187838
274.08,277.9,98.62540482187838
6.67,6.76,98.66863905325444
6.67,6.76,98.66863905325444
68520.22,69476.45,98.62366312613842
68520.22,69476.45,98.62366312613842
68520.22,69476.45,98.62366312613842
68520.22,69476.45,98.62366312613842
85370.29,87395.18,97.68306444359975
85370.29,87395.18,97.68306444359975
85370.29,87395.18,97.68306444359975
85370.29,87395.18,97.68306444359975
275.31,268.74,97.55525787006029
275.31,268.74,97.55525787006029
275.31,268.74,97.55525787006029
275.31,268.74,97.55525787006029
6.68,6.54,97.85932721712538
6.68,6.54,97.85932721712538
68829.04,67187.42,97.55665569536679
68829.04,67187.42,97.55665569536679
68829.04,67187.42,97.55665569536679
68829.04,67187.42,97.55665569536679
85193.33,83443.37,97.90281720405108
85193.33,83443.37,97.90281720405108
85193.33,83443.37,97.90281720405108
85193.33,83443.37,97.90281720405108
261.75,261.59,99.93883558239993
261.75,261.59,99.93883558239993
261.75,261.59,99.93883558239993
261.75,261.59,99.93883558239993
