Prediction,Actual,Error %
58.12,49.68,16.98872786
58.655,50.05,17.19280719
62.055,50.11,23.83755737
58.655,50.12,17.02913009
62.705,50.34,24.56297179
62.735,50.52,24.17854315
62.8,50.61,24.08614898
63.385,50.62,25.21730541
62.8,50.79,23.64638708
63.385,50.8,24.77362205
66.555,50.82,30.9622196
63.42,50.88,24.64622642
63.095,50.94,23.86140558
63.385,51.16,23.89562158
67.28,51.22,31.35493948
67.28,51.29,31.17566777
60.255,51.44,17.13646967
67.745,51.45,31.67152575
67.975,51.68,31.53057276
67.89,51.94,30.70850982
67.255,52.07,29.16266564
65.945,52.26,26.18637581
69.525,52.28,32.98584545
62.705,52.47,19.5063846
69.625,52.48,32.66958841
62.055,52.52,18.15498858
62.925,52.63,19.56108683
70.04,52.69,32.92844942
62.055,52.81,17.50615414
62.055,52.83,17.46166951
70.365,52.84,33.166162
62.37,52.9,17.90170132
70.67,52.93,33.51596448
62.705,52.96,18.40067976
62.925,53.05,18.61451461
68.235,53.1,28.50282486
67.325,53.12,26.74134036
70.605,53.16,32.81602709
63.375,53.16,19.21557562
62.805,53.18,18.09890936
62.565,53.26,17.47089748
63.295,53.28,18.79692192
70.345,53.31,31.95460514
62.8,53.37,17.66910249
71.155,53.39,33.27402135
62.705,53.39,17.44708747
63.095,53.42,18.11119431
60.05,53.61,12.0126842
67.14,53.62,25.21447221
63.42,53.64,18.23266219
67.125,53.65,25.11649581
62.8,53.7,16.94599628
66.72,53.75,24.13023256
59.36,53.84,10.2526003
67.125,53.85,24.65181058
71.8,53.96,33.06152706
70.055,53.99,29.75551028
60.07,54.05,11.13783534
68.305,54.05,26.37372803
64.62,54.06,19.53385128
68.07,54.1,25.82255083
72.13,54.13,33.25327914
67.92,54.21,25.2905368
70.53,54.26,29.98525617
70.665,54.27,30.21006081
72.515,54.27,33.61894233
67.775,54.38,24.63221773
63.64,54.4,16.98529412
64.275,54.48,17.97907489
67.89,54.51,24.54595487
67.035,54.52,22.95487894
64.725,54.63,18.47885777
64.395,54.63,17.87479407
64.655,54.72,18.15606725
67.81,54.73,23.89914124
70.52,54.74,28.82718305
64.465,54.74,17.76580197
71.49,54.76,30.55149744
64.835,54.76,18.39846603
64.285,54.78,17.35122307
65.355,54.79,19.28271582
64.225,54.81,17.17752235
67.805,54.82,23.68661073
63.93,54.85,16.55423883
81.905,54.87,49.27100419
69.475,54.87,26.61745945
64.225,54.88,17.02806122
64.605,54.88,17.72048105
64.15,54.88,16.89139942
63.93,54.9,16.44808743
71.245,54.94,29.67783036
64.995,54.98,18.21571481
62.215,55.01,13.09761861
55.1,55.04,0.109011628
68.485,55.05,24.40508629
64.96,55.05,18.00181653
68.465,55.06,24.34616782
64.685,55.08,17.4382716
64.56,55.09,17.19005264
82.77,55.13,50.13604208
76.51,55.16,38.70558376
69.295,55.19,25.55716615
68.33,55.22,23.74139804
76.5,55.25,38.46153846
65.37,55.28,18.25253256
82.805,55.32,49.68365871
69.37,55.32,25.39768619
73.685,55.35,33.12556459
64.905,55.35,17.26287263
69.395,55.35,25.37488708
72.015,55.37,30.06140509
65.38,55.42,17.97185132
82.9,55.42,49.58498737
72.335,55.43,30.49792531
83.68,55.44,50.93795094
68.755,55.45,23.99458972
69.295,55.46,24.94590696
69.12,55.46,24.63036423
65.345,55.47,17.80241572
76.51,55.47,37.93041284
64.995,55.48,17.15032444
64.32,55.53,15.82928147
68.505,55.58,23.2547679
65.105,55.6,17.09532374
71.285,55.62,28.16432938
82.9,55.62,49.04710536
65.715,55.62,18.14994606
83.68,55.63,50.42243394
65.87,55.64,18.3860532
87.015,55.65,56.36118598
76.5,55.72,37.29361091
83.73,55.72,50.26920316
83.285,55.78,49.30978845
77.705,55.86,39.10669531
72.155,55.87,29.14802219
72.725,55.88,30.14495347
68.33,55.88,22.27988547
65.68,55.91,17.47451261
73.05,55.92,30.63304721
65.9,55.92,17.84692418
77.795,55.93,39.09350974
70.615,55.94,26.23346443
69.54,55.94,24.3117626
66.015,55.95,17.98927614
78.72,55.96,40.67190851
66.215,55.98,18.28331547
73.82,56,31.82142857
72.935,56,30.24107143
78.445,56.01,40.05534726
65.95,56.01,17.74683092
83.68,56.02,49.37522313
72.93,56.02,30.18564798
72.45,56.05,29.25958965
72.58,56.05,29.49152542
72.795,56.06,29.85194435
66.25,56.06,18.17695326
66.585,56.08,18.73216833
87.97,56.1,56.80926916
65.895,56.1,17.45989305
72.935,56.11,29.98574229
87.97,56.17,56.61385081
72.27,56.2,28.59430605
77.97,56.21,38.71197296
66.375,56.21,18.08397082
68.585,56.23,21.9722568
72.185,56.25,28.32888889
66.29,56.25,17.84888889
71.405,56.29,26.85201634
75.155,56.29,33.51394564
72.835,56.29,29.39243205
67.135,56.32,19.20276989
65.985,56.34,17.11927583
88.585,56.35,57.20496894
70.615,56.36,25.29276082
67.09,56.39,18.97499557
75.195,56.39,33.34811137
72.835,56.4,29.14007092
67.185,56.4,19.12234043
65.94,56.41,16.8941677
78.445,56.41,39.06222301
73.725,56.43,30.64859117
66.215,56.47,17.25695059
72.95,56.47,29.18363733
66.585,56.47,17.91216575
66.93,56.48,18.50212465
79,56.49,39.84776067
78.77,56.5,39.4159292
74.035,56.5,31.03539823
73.355,56.5,29.83185841
78.89,56.55,39.50486295
72.93,56.55,28.96551724
73.065,56.56,29.18140028
73.725,56.57,30.32526074
64.725,56.59,14.37533133
85.465,56.59,51.02491606
88.89,56.6,57.04946996
73.725,56.61,30.23317435
65.955,56.64,16.44597458
74.075,56.65,30.75904678
66.865,56.7,17.92768959
66.595,56.71,17.43078822
74.4,56.74,31.12442721
74.385,56.74,31.09799084
73.68,56.74,29.85548114
78.12,56.81,37.51100158
67.335,56.82,18.50580781
74.035,56.84,30.25158339
66.655,56.86,17.22652128
67.09,56.86,17.99155821
78.76,56.86,38.51565248
73.94,56.88,29.99296765
88.78,56.88,56.08298172
74.035,56.89,30.1371067
70.555,56.93,23.93290005
78.75,56.93,38.32777095
67.145,56.96,17.8809691
67.05,56.96,17.71418539
76.075,56.97,33.53519396
62.92,56.99,10.40533427
66.815,56.99,17.23986664
79,57,38.59649123
70.735,57,24.09649123
74.67,57.01,30.97702158
113.37,57.03,98.79011047
79.38,57.03,39.18990005
77.01,57.04,35.01051893
74.385,57.04,30.40848527
66.78,57.05,17.05521472
67.135,57.06,17.65685244
79.67,57.1,39.52714536
79.67,57.11,39.50271406
70.78,57.14,23.87119356
66.56,57.16,16.44506648
79.605,57.16,39.26696991
74.08,57.17,29.57845024
66.815,57.2,16.80944056
67.125,57.2,17.3513986
71.93,57.21,25.72976752
70.735,57.21,23.64097186
67.05,57.26,17.09745023
70.585,57.26,23.27104436
74.06,57.3,29.2495637
74.78,57.36,30.36959554
78.77,57.37,37.30172564
67.75,57.39,18.05192542
70.685,57.48,22.97320807
79.615,57.5,38.46086957
78.29,57.5,36.15652174
77.93,57.52,35.48331015
79,57.53,37.31965931
79.525,57.54,38.20820299
67.81,57.55,17.82797567
79.93,57.57,38.83967344
76.335,57.57,32.59510162
70.715,57.58,22.81174019
73.105,57.58,26.96248697
68.06,57.59,18.18023962
77.18,57.6,33.99305556
77.01,57.63,33.62831858
67.82,57.63,17.68176297
67.6,57.63,17.30001735
74.67,57.64,29.54545455
78.29,57.65,35.80225499
75.86,57.67,31.54152939
71.775,57.67,24.45812381
67.715,57.68,17.39771151
71.395,57.7,23.73483536
76.335,57.71,32.27343615
71.405,57.71,23.73072258
71.105,57.72,23.18953569
78.29,57.72,35.63756064
77.18,57.74,33.66816765
69.005,57.75,19.48917749
72.825,57.76,26.08206371
79.465,57.76,37.57790859
78.485,57.77,35.85771162
68.24,57.78,18.10314988
77.08,57.8,33.35640138
77.005,57.81,33.20359799
72.33,57.85,25.03025065
79.96,57.87,38.1717643
79.685,57.87,37.69656126
71.44,57.88,23.42778162
67.88,57.88,17.27712509
80.505,57.9,39.04145078
77.01,57.9,33.00518135
78.685,57.93,35.82772311
71.745,57.98,23.74094515
77.005,57.99,32.79013623
76.13,58.01,31.23599379
67.49,58.09,16.18178688
72.52,58.1,24.81927711
71.49,58.12,23.00412939
80.295,58.16,38.0588033
115.045,58.16,97.80777166
78.595,58.16,35.13583219
68.925,58.17,18.48891181
73.115,58.18,25.67033345
113.495,58.18,95.07562736
77.58,58.2,33.29896907
71.68,58.23,23.09805942
77.66,58.26,33.29900446
79.37,58.29,36.16400755
69.125,58.31,18.54741897
76.13,58.31,30.56079575
72.52,58.32,24.3484225
73.38,58.33,25.80147437
70.83,58.36,21.36737491
69.12,58.38,18.3967112
71.42,58.39,22.31546498
69.005,58.42,18.11879493
81.515,58.44,39.48494182
76.335,58.45,30.5988024
72.245,58.48,23.5379617
69.59,58.48,18.99794802
76.675,58.5,31.06837607
79.735,58.52,36.25256323
84.295,58.52,44.04477102
