Prediction,Actual,Error %,,Average Error %
97.98,3.71,2540.97035,,18.09552038
97.98,3.71,2540.97035,,
90.145,4.39,1953.416856,,
90.145,4.39,1953.416856,,
4.215,4.48,5.915178571,,
4.215,4.48,5.915178571,,
4.8,4.63,3.671706263,,
4.8,4.63,3.671706263,,
4.76,4.73,0.634249471,,
4.76,4.73,0.634249471,,
4.515,4.74,4.746835443,,
4.515,4.74,4.746835443,,
131.89,4.84,2625,,
131.89,4.84,2625,,
5.015,4.87,2.977412731,,
5.015,4.87,2.977412731,,
5.135,4.91,4.582484725,,
5.135,4.91,4.582484725,,
4.615,4.94,6.578947368,,
4.615,4.94,6.578947368,,
4.695,4.95,5.151515152,,
4.695,4.95,5.151515152,,
115.26,4.96,2223.790323,,
115.26,4.96,2223.790323,,
115.105,4.96,2220.665323,,
115.105,4.96,2220.665323,,
4.635,4.99,7.114228457,,
4.635,4.99,7.114228457,,
5.105,5.03,1.491053678,,
5.105,5.03,1.491053678,,
106.12,5.06,1997.233202,,
106.12,5.06,1997.233202,,
4.845,5.09,4.813359528,,
4.845,5.09,4.813359528,,
115.105,5.09,2161.394892,,
115.105,5.09,2161.394892,,
113.18,5.1,2119.215686,,
113.18,5.1,2119.215686,,
5.105,5.1,0.098039216,,
5.105,5.1,0.098039216,,
5.135,5.12,0.29296875,,
5.135,5.12,0.29296875,,
113.18,5.12,2110.546875,,
113.18,5.12,2110.546875,,
4.76,5.13,7.212475634,,
4.76,5.13,7.212475634,,
5.315,5.16,3.003875969,,
5.315,5.16,3.003875969,,
5.84,5.2,12.30769231,,
5.84,5.2,12.30769231,,
5.405,5.22,3.544061303,,
5.405,5.22,3.544061303,,
5.22,5.22,0,,
5.22,5.22,0,,
97.98,5.22,1777.011494,,
97.98,5.22,1777.011494,,
5.22,5.22,0,,
5.22,5.22,0,,
114.645,5.23,2092.06501,,
114.645,5.23,2092.06501,,
5.285,5.23,1.051625239,,
5.285,5.23,1.051625239,,
5.285,5.24,0.858778626,,
5.285,5.24,0.858778626,,
5.285,5.25,0.666666667,,
5.285,5.25,0.666666667,,
114.52,5.27,2073.055028,,
114.52,5.27,2073.055028,,
5.445,5.27,3.320683112,,
5.445,5.27,3.320683112,,
5.225,5.29,1.228733459,,
5.225,5.29,1.228733459,,
5.375,5.3,1.41509434,,
5.375,5.3,1.41509434,,
115.105,5.31,2067.702448,,
115.105,5.31,2067.702448,,
126.005,5.33,2264.071295,,
126.005,5.33,2264.071295,,
5.47,5.33,2.626641651,,
5.47,5.33,2.626641651,,
5.82,5.34,8.988764045,,
5.82,5.34,8.988764045,,
5.285,5.36,1.399253731,,
5.285,5.36,1.399253731,,
5.29,5.37,1.489757914,,
5.29,5.37,1.489757914,,
120.31,5.39,2132.096475,,
120.31,5.39,2132.096475,,
5.695,5.39,5.658627087,,
5.695,5.39,5.658627087,,
5.395,5.4,0.092592593,,
5.395,5.4,0.092592593,,
114.14,5.43,2002.025783,,
114.14,5.43,2002.025783,,
5.66,5.43,4.23572744,,
5.66,5.43,4.23572744,,
114.52,5.44,2005.147059,,
114.52,5.44,2005.147059,,
5.6,5.44,2.941176471,,
5.6,5.44,2.941176471,,
5.63,5.44,3.492647059,,
5.63,5.44,3.492647059,,
5.665,5.45,3.944954128,,
5.665,5.45,3.944954128,,
5.85,5.45,7.339449541,,
5.85,5.45,7.339449541,,
5.685,5.46,4.120879121,,
5.685,5.46,4.120879121,,
