Municipality,Province,Latitude,Longitude,Month,Mean daily global insolation (kWh/m2) : S WITH 90,Mean daily global insolation (kWh/m2): S WITH LAT,Mean daily global insolation (kWh/m2): S WITH LAT + 15,Mean daily global insolation (kWh/m2): S WITH LAT - 15,Mean daily global insolation (kWh/m2): 2 AXIS TRACK,Mean daily global insolation (kWh/m2): S WITH 0
Deep Bight,Newfoundland and Labrador,48.09,-53.95,November,1.84,1.93,1.99,1.77,2.25,1.13
Deep Bight,Newfoundland and Labrador,48.09,-53.95,October,2.34,2.76,2.74,2.64,3.35,1.99
Deep Bight,Newfoundland and Labrador,48.09,-53.95,September,2.79,3.82,3.61,3.84,4.96,3.37
Del Bonita,Alberta,49.03,-112.79,Annual,3.66,4.84,4.59,4.84,6.88,3.8
Del Bonita,Alberta,49.03,-112.79,April,3.65,5.41,4.97,5.58,7.82,4.83
Del Bonita,Alberta,49.03,-112.79,August,3.61,5.79,5.19,6.1,8.86,5.7
Del Bonita,Alberta,49.03,-112.79,December,3.05,2.87,3.09,2.49,3.43,1.07
Del Bonita,Alberta,49.03,-112.79,February,4.16,4.33,4.47,3.95,5.34,2.31
Del Bonita,Alberta,49.03,-112.79,January,3.65,3.48,3.72,3.04,4.19,1.34
Del Bonita,Alberta,49.03,-112.79,July,3.29,6.04,5.2,6.62,10.14,6.66
Del Bonita,Alberta,49.03,-112.79,June,3.02,5.64,4.81,6.24,9.49,6.26
Del Bonita,Alberta,49.03,-112.79,March,4.18,5.07,4.97,4.9,6.58,3.63
Del Bonita,Alberta,49.03,-112.79,May,3.1,5.32,4.66,5.76,8.46,5.75
Del Bonita,Alberta,49.03,-112.79,November,3.47,3.45,3.64,3.06,4.18,1.41
Del Bonita,Alberta,49.03,-112.79,October,4.5,5.03,5.08,4.69,6.36,2.61
Del Bonita,Alberta,49.03,-112.79,September,4.23,5.58,5.32,5.54,7.66,4
Dél?ne,Northwest,65.19,-123.42,Annual,3.2,3.71,3.46,3.78,5.73,2.69
Dél?ne,Northwest,65.19,-123.42,April,5.78,6.63,6.23,6.7,10.03,4.27
Dél?ne,Northwest,65.19,-123.42,August,3.6,4.48,4,4.74,7.18,3.85
Dél?ne,Northwest,65.19,-123.42,December,0.45,0.42,0.45,0.36,0.47,0.06
Dél?ne,Northwest,65.19,-123.42,February,3.22,3.16,3.26,2.86,3.66,0.75
Dél?ne,Northwest,65.19,-123.42,January,0.94,0.89,0.94,0.78,0.99,0.15
Dél?ne,Northwest,65.19,-123.42,July,3.81,5.08,4.37,5.59,9.55,5.54
Dél?ne,Northwest,65.19,-123.42,June,4.07,5.5,4.71,6.1,10.93,6.25
Dél?ne,Northwest,65.19,-123.42,March,5.63,5.86,5.82,5.57,7.59,2.3
Dél?ne,Northwest,65.19,-123.42,May,4.66,5.88,5.24,6.28,10.15,5.69
Dél?ne,Northwest,65.19,-123.42,November,1.27,1.22,1.28,1.09,1.36,0.24
Dél?ne,Northwest,65.19,-123.42,October,2.01,2.07,2.07,1.96,2.41,0.85
Dél?ne,Northwest,65.19,-123.42,September,2.98,3.34,3.15,3.36,4.44,2.18
Destruction Bay,Yukon,61.25,-138.8,Annual,3.23,3.84,3.59,3.89,5.47,2.69
Destruction Bay,Yukon,61.25,-138.8,April,4.76,5.78,5.35,5.88,8.41,4.33
Destruction Bay,Yukon,61.25,-138.8,August,3.65,4.79,4.29,5.07,7.15,3.93
Destruction Bay,Yukon,61.25,-138.8,December,1.24,1.16,1.24,1.01,1.28,0.18
Destruction Bay,Yukon,61.25,-138.8,February,3.46,3.43,3.53,3.11,4.04,1.03
Destruction Bay,Yukon,61.25,-138.8,January,1.88,1.77,1.87,1.54,1.97,0.31
Destruction Bay,Yukon,61.25,-138.8,July,3.36,4.75,4.09,5.21,7.68,4.88
Destruction Bay,Yukon,61.25,-138.8,June,3.54,5.08,4.33,5.62,8.79,5.62
Destruction Bay,Yukon,61.25,-138.8,March,4.83,5.18,5.11,4.97,6.65,2.48
Destruction Bay,Yukon,61.25,-138.8,May,3.93,5.4,4.72,5.83,9.01,5.3
Destruction Bay,Yukon,61.25,-138.8,November,1.8,1.74,1.82,1.57,1.94,0.41
Destruction Bay,Yukon,61.25,-138.8,October,2.9,3,3,2.81,3.47,1.17
Destruction Bay,Yukon,61.25,-138.8,September,3.43,3.97,3.74,4,5.23,2.59
Dettah,Northwest,62.41,-114.31,Annual,3.39,4,3.75,4.05,6.18,2.9
Dettah,Northwest,62.41,-114.31,April,5.75,6.78,6.35,6.89,10.23,4.56
Dettah,Northwest,62.41,-114.31,August,3.6,4.7,4.19,4.98,7.76,4.1
Dettah,Northwest,62.41,-114.31,December,1.13,1.04,1.12,0.89,1.17,0.16
Dettah,Northwest,62.41,-114.31,February,3.9,3.8,3.95,3.43,4.51,1.02
Dettah,Northwest,62.41,-114.31,January,1.91,1.78,1.9,1.55,2.03,0.31
Dettah,Northwest,62.41,-114.31,July,3.68,5.2,4.46,5.72,9.9,5.75
Dettah,Northwest,62.41,-114.31,June,3.79,5.45,4.64,6.06,10.78,6.35
Dettah,Northwest,62.41,-114.31,March,5.97,6.25,6.24,5.93,8.17,2.64
Dettah,Northwest,62.41,-114.31,May,4.24,5.7,5.02,6.16,10.15,5.8
Dettah,Northwest,62.41,-114.31,November,1.65,1.57,1.65,1.39,1.8,0.4
Dettah,Northwest,62.41,-114.31,October,1.96,2.07,2.06,1.96,2.53,1.12
Dettah,Northwest,62.41,-114.31,September,3.16,3.67,3.47,3.68,5.05,2.43
Dildo,Newfoundland and Labrador,47.57,-53.55,Annual,2.53,3.44,3.24,3.48,4.56,3.13
Dildo,Newfoundland and Labrador,47.57,-53.55,April,2.75,4.01,3.7,4.16,5.26,3.98
Dildo,Newfoundland and Labrador,47.57,-53.55,August,2.71,4.39,3.94,4.63,6.18,4.53
Dildo,Newfoundland and Labrador,47.57,-53.55,December,1.77,1.73,1.83,1.54,1.99,0.87
Dildo,Newfoundland and Labrador,47.57,-53.55,February,3.07,3.21,3.3,2.97,3.84,1.98
Dildo,Newfoundland and Labrador,47.57,-53.55,January,2.3,2.25,2.38,2.01,2.64,1.14
Dildo,Newfoundland and Labrador,47.57,-53.55,July,2.56,4.58,3.98,4.99,6.79,5.28
Dildo,Newfoundland and Labrador,47.57,-53.55,June,2.35,4.26,3.69,4.68,6.31,5.3
Dildo,Newfoundland and Labrador,47.57,-53.55,March,3.37,4.04,3.96,3.94,5.01,3.08
Dildo,Newfoundland and Labrador,47.57,-53.55,May,2.42,4.12,3.63,4.45,5.91,4.75
Dildo,Newfoundland and Labrador,47.57,-53.55,November,1.84,1.95,2,1.79,2.26,1.16
Dildo,Newfoundland and Labrador,47.57,-53.55,October,2.4,2.84,2.82,2.72,3.44,2.04
Dildo,Newfoundland and Labrador,47.57,-53.55,September,2.84,3.89,3.68,3.91,5.06,3.43
Dublin,Ontario,43.5,-81.29,Annual,2.85,4.17,3.92,4.23,5.85,3.65
Dublin,Ontario,43.5,-81.29,April,3.21,5.13,4.73,5.29,7.22,4.43
Dublin,Ontario,43.5,-81.29,August,2.86,5.1,4.59,5.39,7.53,5.19
Dublin,Ontario,43.5,-81.29,December,2.07,2.06,2.17,1.85,2.44,1.2
Dublin,Ontario,43.5,-81.29,February,3.54,3.8,3.91,3.51,4.6,2.46
Dublin,Ontario,43.5,-81.29,January,2.53,2.52,2.66,2.27,3.03,1.54
Dublin,Ontario,43.5,-81.29,July,2.6,5.43,4.69,5.96,8.86,6.15
Dublin,Ontario,43.5,-81.29,June,2.57,5.47,4.69,6.05,8.99,6.06
Dublin,Ontario,43.5,-81.29,March,3.7,4.64,4.55,4.51,5.87,3.57
Dublin,Ontario,43.5,-81.29,May,2.71,5.25,4.61,5.68,8.07,5.46
Dublin,Ontario,43.5,-81.29,November,2.24,2.4,2.49,2.19,2.88,1.39
Dublin,Ontario,43.5,-81.29,October,3.13,3.78,3.78,3.56,4.71,2.52
Dublin,Ontario,43.5,-81.29,September,3.04,4.44,4.21,4.44,5.99,3.8
Ellerslie,Prince Edward Island,46.6,-63.94,Annual,3.07,4.12,3.92,4.13,5.64,3.38
Ellerslie,Prince Edward Island,46.6,-63.94,April,3.06,4.57,4.21,4.73,6.27,4.26
Ellerslie,Prince Edward Island,46.6,-63.94,August,2.96,4.9,4.41,5.16,7.1,4.83
Ellerslie,Prince Edward Island,46.6,-63.94,December,2.59,2.44,2.63,2.13,2.96,1.03
Ellerslie,Prince Edward Island,46.6,-63.94,February,4.15,4.28,4.44,3.91,5.26,2.28
Ellerslie,Prince Edward Island,46.6,-63.94,January,3.57,3.38,3.63,2.95,4.14,1.37
Ellerslie,Prince Edward Island,46.6,-63.94,July,2.69,4.95,4.3,5.41,7.6,5.48
Ellerslie,Prince Edward Island,46.6,-63.94,June,2.59,4.97,4.26,5.47,7.83,5.6
Ellerslie,Prince Edward Island,46.6,-63.94,March,4.15,4.97,4.9,4.8,6.36,3.42
Ellerslie,Prince Edward Island,46.6,-63.94,May,2.69,4.78,4.19,5.14,7.12,5.04
Ellerslie,Prince Edward Island,46.6,-63.94,November,2.36,2.45,2.55,2.21,2.93,1.31
Ellerslie,Prince Edward Island,46.6,-63.94,October,2.94,3.45,3.44,3.26,4.27,2.25
Ellerslie,Prince Edward Island,46.6,-63.94,September,3.14,4.35,4.12,4.35,5.79,3.59
Eskasoni,Nova Scotia,45.94,-60.62,Annual,2.64,3.71,3.48,3.75,4.98,3.26
Eskasoni,Nova Scotia,45.94,-60.62,April,2.78,4.19,3.86,4.32,5.56,3.94
Eskasoni,Nova Scotia,45.94,-60.62,August,2.81,4.69,4.21,4.94,6.63,4.78
Eskasoni,Nova Scotia,45.94,-60.62,December,1.8,1.79,1.88,1.6,2.07,0.97
Eskasoni,Nova Scotia,45.94,-60.62,February,3.34,3.51,3.62,3.24,4.24,2.06
Eskasoni,Nova Scotia,45.94,-60.62,January,2.39,2.36,2.48,2.11,2.77,1.25
Eskasoni,Nova Scotia,45.94,-60.62,July,2.58,4.84,4.19,5.26,7.22,5.44
Eskasoni,Nova Scotia,45.94,-60.62,June,2.51,4.87,4.18,5.33,7.43,5.49
Eskasoni,Nova Scotia,45.94,-60.62,March,3.54,4.3,4.21,4.18,5.4,3.13
Eskasoni,Nova Scotia,45.94,-60.62,May,2.59,4.67,4.1,5.02,6.83,4.94
Eskasoni,Nova Scotia,45.94,-60.62,November,1.89,2.04,2.09,1.88,2.38,1.27
Eskasoni,Nova Scotia,45.94,-60.62,October,2.58,3.09,3.07,2.95,3.76,2.22
Eskasoni,Nova Scotia,45.94,-60.62,September,2.96,4.17,3.94,4.18,5.48,3.54
Faro,Yukon,62.23,-133.36,Annual,2.8,3.43,3.15,3.53,4.98,2.71
Faro,Yukon,62.23,-133.36,April,4.46,5.57,5.08,5.74,8.15,4.33
Faro,Yukon,62.23,-133.36,August,3.5,4.59,4.09,4.85,6.84,3.99
Faro,Yukon,62.23,-133.36,December,0.55,0.52,0.54,0.45,0.57,0.14
Faro,Yukon,62.23,-133.36,February,2.88,2.88,2.95,2.64,3.34,0.96
Faro,Yukon,62.23,-133.36,January,1.1,1.05,1.1,0.94,1.17,0.26
Faro,Yukon,62.23,-133.36,July,3.44,4.77,4.1,5.23,7.82,5.17
Faro,Yukon,62.23,-133.36,June,3.73,5.29,4.49,5.84,9.08,5.89
Faro,Yukon,62.23,-133.36,March,4.28,4.68,4.58,4.52,5.94,2.43
Faro,Yukon,62.23,-133.36,May,3.76,5.19,4.47,5.65,8.55,5.4
Faro,Yukon,62.23,-133.36,November,1.14,1.12,1.16,1.01,1.27,0.37
Faro,Yukon,62.23,-133.36,October,1.89,2.05,2.03,1.97,2.45,1.07
Faro,Yukon,62.23,-133.36,September,2.89,3.46,3.24,3.48,4.54,2.45
Flat Bay,Newfoundland and Labrador,48.43,-58.56,Annual,2.52,3.48,3.25,3.54,4.72,3.16
Flat Bay,Newfoundland and Labrador,48.43,-58.56,April,3.05,4.44,4.08,4.6,5.96,4.25
Flat Bay,Newfoundland and Labrador,48.43,-58.56,August,2.76,4.41,3.96,4.65,6.26,4.5
Flat Bay,Newfoundland and Labrador,48.43,-58.56,December,1.4,1.39,1.46,1.26,1.59,0.84
Flat Bay,Newfoundland and Labrador,48.43,-58.56,February,3.04,3.19,3.27,2.96,3.83,1.97
Flat Bay,Newfoundland and Labrador,48.43,-58.56,January,1.94,1.92,2.02,1.75,2.26,1.11
Flat Bay,Newfoundland and Labrador,48.43,-58.56,July,2.56,4.54,3.93,4.95,6.84,5.23
Flat Bay,Newfoundland and Labrador,48.43,-58.56,June,2.53,4.63,3.97,5.09,7.24,5.42
Flat Bay,Newfoundland and Labrador,48.43,-58.56,March,3.64,4.32,4.24,4.21,5.43,3.21
Flat Bay,Newfoundland and Labrador,48.43,-58.56,May,2.69,4.59,4.02,4.95,6.84,4.91
Flat Bay,Newfoundland and Labrador,48.43,-58.56,November,1.65,1.76,1.8,1.63,2.05,1.13
Flat Bay,Newfoundland and Labrador,48.43,-58.56,October,2.29,2.71,2.68,2.61,3.3,2.01
Flat Bay,Newfoundland and Labrador,48.43,-58.56,September,2.77,3.8,3.58,3.82,4.96,3.3
Florenceville,New Brunswick,46.45,-67.61,Annual,3.09,4.17,3.97,4.18,5.74,3.43
Florenceville,New Brunswick,46.45,-67.61,April,3.2,4.85,4.46,5.02,6.69,4.34
Florenceville,New Brunswick,46.45,-67.61,August,2.92,4.86,4.37,5.12,7.09,4.81
Florenceville,New Brunswick,46.45,-67.61,December,2.69,2.54,2.73,2.21,3.07,1.11
Florenceville,New Brunswick,46.45,-67.61,February,4.12,4.26,4.43,3.89,5.26,2.43
Florenceville,New Brunswick,46.45,-67.61,January,3.38,3.21,3.45,2.81,3.95,1.45
Florenceville,New Brunswick,46.45,-67.61,July,2.63,4.94,4.29,5.41,7.76,5.52
Florenceville,New Brunswick,46.45,-67.61,June,2.51,4.82,4.15,5.32,7.66,5.58
Florenceville,New Brunswick,46.45,-67.61,March,4.19,5.06,4.98,4.89,6.49,3.53
Florenceville,New Brunswick,46.45,-67.61,May,2.71,4.86,4.27,5.25,7.39,5.11
Florenceville,New Brunswick,46.45,-67.61,November,2.54,2.61,2.73,2.36,3.14,1.35
Florenceville,New Brunswick,46.45,-67.61,October,3.08,3.61,3.61,3.41,4.48,2.27
Florenceville,New Brunswick,46.45,-67.61,September,3.2,4.45,4.21,4.45,5.93,3.56
Fogo,Newfoundland and Labrador,49.71,-54.28,Annual,2.71,3.53,3.34,3.55,4.74,3.09
Fogo,Newfoundland and Labrador,49.71,-54.28,April,3.09,4.27,3.95,4.42,5.69,4.15
Fogo,Newfoundland and Labrador,49.71,-54.28,August,2.72,4.27,3.83,4.51,6.09,4.38
Fogo,Newfoundland and Labrador,49.71,-54.28,December,2.07,1.96,2.1,1.72,2.3,0.78
Fogo,Newfoundland and Labrador,49.71,-54.28,February,3.46,3.53,3.65,3.23,4.27,1.9
Fogo,Newfoundland and Labrador,49.71,-54.28,January,2.69,2.56,2.73,2.26,3.05,1.06
Fogo,Newfoundland and Labrador,49.71,-54.28,July,2.59,4.48,3.89,4.89,6.84,5.24
Fogo,Newfoundland and Labrador,49.71,-54.28,June,2.45,4.25,3.68,4.68,6.56,5.4
Fogo,Newfoundland and Labrador,49.71,-54.28,March,3.79,4.39,4.33,4.26,5.48,3.1
Fogo,Newfoundland and Labrador,49.71,-54.28,May,2.54,4.11,3.64,4.44,6.07,4.83
Fogo,Newfoundland and Labrador,49.71,-54.28,November,1.98,2.03,2.11,1.85,2.37,1.06
Fogo,Newfoundland and Labrador,49.71,-54.28,October,2.42,2.79,2.77,2.66,3.39,1.91
Fogo,Newfoundland and Labrador,49.71,-54.28,September,2.74,3.68,3.47,3.71,4.78,3.25
Forresters Point,Newfoundland and Labrador,51.18,-56.8,Annual,2.69,3.45,3.26,3.48,4.63,3
Forresters Point,Newfoundland and Labrador,51.18,-56.8,April,3.45,4.57,4.25,4.7,6.05,4.21
Forresters Point,Newfoundland and Labrador,51.18,-56.8,August,2.7,4.11,3.68,4.35,5.85,4.24
Forresters Point,Newfoundland and Labrador,51.18,-56.8,December,1.74,1.66,1.76,1.46,1.94,0.71
Forresters Point,Newfoundland and Labrador,51.18,-56.8,February,3.36,3.43,3.54,3.16,4.14,1.78
Forresters Point,Newfoundland and Labrador,51.18,-56.8,January,2.34,2.24,2.38,2,2.67,0.96
Forresters Point,Newfoundland and Labrador,51.18,-56.8,July,2.55,4.25,3.68,4.64,6.48,5.06
Forresters Point,Newfoundland and Labrador,51.18,-56.8,June,2.56,4.26,3.68,4.67,6.57,5.29
Forresters Point,Newfoundland and Labrador,51.18,-56.8,March,3.89,4.42,4.37,4.28,5.51,3.03
Forresters Point,Newfoundland and Labrador,51.18,-56.8,May,2.91,4.44,3.94,4.77,6.44,4.89
Forresters Point,Newfoundland and Labrador,51.18,-56.8,November,1.92,1.94,2.02,1.77,2.27,0.96
Forresters Point,Newfoundland and Labrador,51.18,-56.8,October,2.26,2.59,2.56,2.48,3.13,1.75
Forresters Point,Newfoundland and Labrador,51.18,-56.8,September,2.63,3.47,3.26,3.51,4.49,3.05
Fort Albany,Ontario,52.21,-81.68,Annual,3.38,4.22,4.02,4.21,5.93,3.3
Fort Albany,Ontario,52.21,-81.68,April,4.72,6.24,5.83,6.37,8.87,5.03
Fort Albany,Ontario,52.21,-81.68,August,3,4.57,4.09,4.84,6.93,4.45
Fort Albany,Ontario,52.21,-81.68,December,2.74,2.52,2.73,2.17,3.01,0.77
Fort Albany,Ontario,52.21,-81.68,February,5.01,4.97,5.2,4.48,6.15,2.11
Fort Albany,Ontario,52.21,-81.68,January,3.69,3.44,3.7,2.99,4.16,1.08
Fort Albany,Ontario,52.21,-81.68,July,2.83,4.74,4.09,5.2,7.83,5.48
Fort Albany,Ontario,52.21,-81.68,June,2.86,4.82,4.14,5.33,8.04,5.78
Fort Albany,Ontario,52.21,-81.68,March,5.45,6.07,6.05,5.78,7.93,3.63
Fort Albany,Ontario,52.21,-81.68,May,3.29,5.14,4.52,5.53,8.09,5.55
Fort Albany,Ontario,52.21,-81.68,November,2.16,2.13,2.23,1.92,2.48,0.93
Fort Albany,Ontario,52.21,-81.68,October,2.35,2.64,2.62,2.53,3.19,1.69
Fort Albany,Ontario,52.21,-81.68,September,2.58,3.39,3.19,3.41,4.5,3
Fort Good Hope,Northwest,66.26,-128.64,Annual,2.92,3.43,3.15,3.54,5.28,2.61
Fort Good Hope,Northwest,66.26,-128.64,April,5.46,6.33,5.89,6.44,9.54,4.2
Fort Good Hope,Northwest,66.26,-128.64,August,3.54,4.33,3.86,4.59,6.72,3.74
Fort Good Hope,Northwest,66.26,-128.64,December,0.02,0.02,0.02,0.02,0.03,0.04
Fort Good Hope,Northwest,66.26,-128.64,February,2.62,2.6,2.66,2.37,2.96,0.66
Fort Good Hope,Northwest,66.26,-128.64,January,0.43,0.42,0.44,0.38,0.46,0.11
Fort Good Hope,Northwest,66.26,-128.64,July,3.86,5.04,4.33,5.54,9.11,5.41
Fort Good Hope,Northwest,66.26,-128.64,June,4.18,5.57,4.74,6.17,10.59,6.21
Fort Good Hope,Northwest,66.26,-128.64,March,5.04,5.31,5.24,5.08,6.82,2.18
Fort Good Hope,Northwest,66.26,-128.64,May,4.63,5.89,5.18,6.34,10.05,5.65
Fort Good Hope,Northwest,66.26,-128.64,November,0.84,0.82,0.84,0.73,0.89,0.19
Fort Good Hope,Northwest,66.26,-128.64,October,1.68,1.75,1.74,1.67,2.02,0.75
Fort Good Hope,Northwest,66.26,-128.64,September,2.77,3.11,2.92,3.14,4.07,2.09
Fort Liard,Northwest,60.24,-123.48,Annual,3.17,3.82,3.57,3.87,5.59,2.86
Fort Liard,Northwest,60.24,-123.48,April,4.57,5.73,5.28,5.89,8.51,4.35
Fort Liard,Northwest,60.24,-123.48,August,3.54,4.69,4.18,4.95,7.22,4.23
Fort Liard,Northwest,60.24,-123.48,December,1.36,1.25,1.34,1.08,1.43,0.22
Fort Liard,Northwest,60.24,-123.48,February,3.51,3.46,3.58,3.15,4.1,1.11
Fort Liard,Northwest,60.24,-123.48,January,1.83,1.72,1.83,1.51,1.97,0.38
Fort Liard,Northwest,60.24,-123.48,July,3.41,4.88,4.2,5.35,8.43,5.49
Fort Liard,Northwest,60.24,-123.48,June,3.56,5.27,4.48,5.84,9.52,5.98
Fort Liard,Northwest,60.24,-123.48,March,4.87,5.26,5.19,5.04,6.76,2.66
Fort Liard,Northwest,60.24,-123.48,May,3.62,5.11,4.45,5.54,8.55,5.46
Fort Liard,Northwest,60.24,-123.48,November,1.98,1.9,1.99,1.69,2.17,0.49
Fort Liard,Northwest,60.24,-123.48,October,2.53,2.68,2.68,2.53,3.2,1.26
Fort Liard,Northwest,60.24,-123.48,September,3.34,3.9,3.69,3.92,5.16,2.64
Fort McMurray,Alberta,56.73,-111.38,Annual,3.5,4.31,4.07,4.33,6.34,3.25
Fort McMurray,Alberta,56.73,-111.38,April,4.5,5.93,5.46,6.11,8.89,4.76
Fort McMurray,Alberta,56.73,-111.38,August,3.57,5.04,4.51,5.34,8.04,4.66
Fort McMurray,Alberta,56.73,-111.38,December,2.31,2.13,2.3,1.83,2.48,0.48
Fort McMurray,Alberta,56.73,-111.38,February,4.33,4.31,4.47,3.91,5.22,1.63
Fort McMurray,Alberta,56.73,-111.38,January,2.84,2.65,2.84,2.31,3.13,0.72
Fort McMurray,Alberta,56.73,-111.38,July,3.33,5.22,4.49,5.74,9.25,5.95
Fort McMurray,Alberta,56.73,-111.38,June,3.23,5.15,4.39,5.73,9.41,6.18
Fort McMurray,Alberta,56.73,-111.38,March,5.18,5.74,5.67,5.5,7.47,3.21
Fort McMurray,Alberta,56.73,-111.38,May,3.55,5.36,4.67,5.82,9.13,5.78
Fort McMurray,Alberta,56.73,-111.38,November,2.55,2.46,2.59,2.18,2.91,0.82
Fort McMurray,Alberta,56.73,-111.38,October,3.22,3.46,3.47,3.25,4.27,1.71
Fort McMurray,Alberta,56.73,-111.38,September,3.46,4.26,4.03,4.25,5.86,2.99
Fort McPherson,Northwest,67.44,-134.88,Annual,2.85,3.33,3.04,3.44,5.05,2.5
Fort McPherson,Northwest,67.44,-134.88,April,5.51,6.31,5.86,6.41,9.33,4.08
Fort McPherson,Northwest,67.44,-134.88,August,3.38,4.15,3.7,4.41,6.29,3.54
Fort McPherson,Northwest,67.44,-134.88,December,0.18,0.18,0.18,0.15,0.18,0.03
Fort McPherson,Northwest,67.44,-134.88,February,2.28,2.24,2.3,2.06,2.56,0.58
Fort McPherson,Northwest,67.44,-134.88,January,0.39,0.37,0.39,0.33,0.4,0.09
Fort McPherson,Northwest,67.44,-134.88,July,3.86,5,4.28,5.48,8.7,5.12
Fort McPherson,Northwest,67.44,-134.88,June,4.31,5.67,4.79,6.26,10.43,6.09
Fort McPherson,Northwest,67.44,-134.88,March,4.94,5.16,5.08,4.94,6.55,2.01
Fort McPherson,Northwest,67.44,-134.88,May,4.7,5.89,5.14,6.34,9.98,5.56
Fort McPherson,Northwest,67.44,-134.88,November,0.54,0.52,0.54,0.48,0.57,0.14
Fort McPherson,Northwest,67.44,-134.88,October,1.53,1.57,1.56,1.5,1.77,0.66
Fort McPherson,Northwest,67.44,-134.88,September,2.54,2.86,2.68,2.9,3.73,1.96
Fort Providence,Northwest,61.36,-117.65,Annual,3.45,4.1,3.85,4.15,6.22,2.94
Fort Providence,Northwest,61.36,-117.65,April,5.34,6.46,6.02,6.58,9.71,4.49
Fort Providence,Northwest,61.36,-117.65,August,3.68,4.87,4.34,5.15,7.88,4.26
Fort Providence,Northwest,61.36,-117.65,December,1.44,1.33,1.43,1.14,1.52,0.21
Fort Providence,Northwest,61.36,-117.65,February,3.91,3.83,3.98,3.47,4.56,1.09
Fort Providence,Northwest,61.36,-117.65,January,2.05,1.92,2.05,1.68,2.19,0.36
Fort Providence,Northwest,61.36,-117.65,July,3.68,5.3,4.54,5.82,9.79,5.81
Fort Providence,Northwest,61.36,-117.65,June,3.78,5.56,4.72,6.17,10.71,6.31
Fort Providence,Northwest,61.36,-117.65,March,5.69,6.02,5.99,5.73,7.83,2.69
Fort Providence,Northwest,61.36,-117.65,May,4.05,5.57,4.88,6.01,9.73,5.69
Fort Providence,Northwest,61.36,-117.65,November,2,1.91,2.01,1.69,2.19,0.46
Fort Providence,Northwest,61.36,-117.65,October,2.49,2.61,2.62,2.46,3.16,1.22
Fort Providence,Northwest,61.36,-117.65,September,3.35,3.9,3.69,3.91,5.3,2.57
Fort Resolution,Northwest,61.17,-113.67,Annual,3.42,4.08,3.83,4.14,6.24,2.98
Fort Resolution,Northwest,61.17,-113.67,April,5.49,6.63,6.18,6.75,9.96,4.62
Fort Resolution,Northwest,61.17,-113.67,August,3.64,4.84,4.32,5.13,7.96,4.25
Fort Resolution,Northwest,61.17,-113.67,December,1.42,1.31,1.41,1.13,1.48,0.21
Fort Resolution,Northwest,61.17,-113.67,February,4.03,3.94,4.09,3.56,4.7,1.16
Fort Resolution,Northwest,61.17,-113.67,January,2.15,2.01,2.15,1.75,2.3,0.39
Fort Resolution,Northwest,61.17,-113.67,July,3.63,5.26,4.51,5.79,9.87,5.84
Fort Resolution,Northwest,61.17,-113.67,June,3.69,5.44,4.62,6.05,10.54,6.35
Fort Resolution,Northwest,61.17,-113.67,March,5.82,6.16,6.14,5.85,8.05,2.78
Fort Resolution,Northwest,61.17,-113.67,May,4.07,5.64,4.93,6.1,9.95,5.8
Fort Resolution,Northwest,61.17,-113.67,November,1.82,1.74,1.83,1.54,2,0.48
Fort Resolution,Northwest,61.17,-113.67,October,2.18,2.31,2.3,2.18,2.83,1.23
Fort Resolution,Northwest,61.17,-113.67,September,3.23,3.79,3.58,3.8,5.21,2.53
Fort Severn,Ontario,56,-87.62,Annual,3.47,4.17,3.97,4.16,5.79,3.16
Fort Severn,Ontario,56,-87.62,April,5.31,6.56,6.2,6.61,9.3,5.06
Fort Severn,Ontario,56,-87.62,August,3.1,4.4,3.93,4.66,6.56,4.26
Fort Severn,Ontario,56,-87.62,December,2.16,1.99,2.14,1.71,2.31,0.54
Fort Severn,Ontario,56,-87.62,February,4.93,4.83,5.06,4.34,5.87,1.79
Fort Severn,Ontario,56,-87.62,January,3.15,2.93,3.15,2.54,3.46,0.8
Fort Severn,Ontario,56,-87.62,July,3.12,4.84,4.16,5.3,7.89,5.49
Fort Severn,Ontario,56,-87.62,June,3.19,4.97,4.26,5.47,8.06,5.83
Fort Severn,Ontario,56,-87.62,March,5.96,6.36,6.39,6,8.25,3.45
Fort Severn,Ontario,56,-87.62,May,3.94,5.58,4.96,5.94,8.48,5.76
Fort Severn,Ontario,56,-87.62,November,2.07,2,2.11,1.79,2.31,0.76
Fort Severn,Ontario,56,-87.62,October,2.24,2.44,2.43,2.33,2.87,1.44
Fort Severn,Ontario,56,-87.62,September,2.56,3.2,3.01,3.23,4.15,2.68
Frances Lake,Yukon,61.28,-129.29,Annual,2.75,3.38,3.11,3.47,4.93,2.74
Frances Lake,Yukon,61.28,-129.29,April,4.16,5.31,4.82,5.49,7.84,4.29
Frances Lake,Yukon,61.28,-129.29,August,3.5,4.57,4.07,4.83,6.85,4.08
Frances Lake,Yukon,61.28,-129.29,December,0.63,0.59,0.62,0.51,0.66,0.16
Frances Lake,Yukon,61.28,-129.29,February,2.9,2.89,2.97,2.66,3.37,0.99
Frances Lake,Yukon,61.28,-129.29,January,1.21,1.15,1.2,1.01,1.29,0.29
Frances Lake,Yukon,61.28,-129.29,July,3.36,4.69,4.03,5.14,7.79,5.27
Frances Lake,Yukon,61.28,-129.29,June,3.55,5.09,4.34,5.64,8.84,5.86
Frances Lake,Yukon,61.28,-129.29,March,4.11,4.52,4.42,4.38,5.77,2.48
