Municipality,Province,Latitude,Longitude,Month,Mean daily global insolation (kWh/m2) : S WITH 90,Mean daily global insolation (kWh/m2): S WITH LAT,Mean daily global insolation (kWh/m2): S WITH LAT + 15,Mean daily global insolation (kWh/m2): S WITH LAT - 15,Mean daily global insolation (kWh/m2): 2 AXIS TRACK,Mean daily global insolation (kWh/m2): S WITH 0
Apple Hill,Ontario,45.22,-74.77,Annual,3.16,4.36,4.14,4.36,6.05,3.56
Apple Hill,Ontario,45.22,-74.77,April,3.18,4.97,4.57,5.13,6.94,4.41
Apple Hill,Ontario,45.22,-74.77,August,2.97,5.09,4.56,5.35,7.49,4.99
Apple Hill,Ontario,45.22,-74.77,December,2.82,2.66,2.87,2.32,3.25,1.17
Apple Hill,Ontario,45.22,-74.77,February,4.44,4.57,4.77,4.15,5.71,2.48
Apple Hill,Ontario,45.22,-74.77,January,3.49,3.33,3.58,2.92,4.09,1.53
Apple Hill,Ontario,45.22,-74.77,July,2.71,5.35,4.61,5.84,8.48,5.87
Apple Hill,Ontario,45.22,-74.77,June,2.57,5.22,4.45,5.73,8.34,5.87
Apple Hill,Ontario,45.22,-74.77,March,4.39,5.35,5.28,5.15,6.95,3.63
Apple Hill,Ontario,45.22,-74.77,May,2.74,5.14,4.49,5.53,7.84,5.33
Apple Hill,Ontario,45.22,-74.77,November,2.49,2.58,2.69,2.33,3.09,1.34
Apple Hill,Ontario,45.22,-74.77,October,3.13,3.68,3.69,3.46,4.56,2.36
Apple Hill,Ontario,45.22,-74.77,September,3.12,4.42,4.19,4.42,5.9,3.65
Arctic Bay,Nunavut,73.03,-85.17,Annual,3.15,3.39,3.18,3.45,5.27,2.45
Arctic Bay,Nunavut,73.03,-85.17,April,7.44,7.76,7.52,7.63,11.8,4.09
Arctic Bay,Nunavut,73.03,-85.17,August,3.11,3.52,3.14,3.76,5.39,3.22
Arctic Bay,Nunavut,73.03,-85.17,December,0,0,0,0,0,0
Arctic Bay,Nunavut,73.03,-85.17,February,1.6,1.55,1.59,1.42,1.7,0.25
Arctic Bay,Nunavut,73.03,-85.17,January,0,0,0,0,0,0.01
Arctic Bay,Nunavut,73.03,-85.17,July,4.11,4.87,4.19,5.37,8.89,5.34
Arctic Bay,Nunavut,73.03,-85.17,June,5.53,6.34,5.63,6.86,11.54,6.58
Arctic Bay,Nunavut,73.03,-85.17,March,5.26,5.27,5.28,4.97,6.68,1.55
Arctic Bay,Nunavut,73.03,-85.17,May,7.24,7.76,7.34,7.91,12.78,6.31
Arctic Bay,Nunavut,73.03,-85.17,November,0.12,0.11,0.12,0.09,0.13,0.04
Arctic Bay,Nunavut,73.03,-85.17,October,1.48,1.46,1.48,1.36,1.68,0.41
Arctic Bay,Nunavut,73.03,-85.17,September,2.28,2.39,2.28,2.39,2.97,1.45
Arviat,Nunavut,61.11,-94.06,Annual,3.62,4.18,3.98,4.18,5.96,2.98
Arviat,Nunavut,61.11,-94.06,April,6.52,7.33,7.05,7.28,10.53,5.02
Arviat,Nunavut,61.11,-94.06,August,3.33,4.43,3.95,4.7,6.85,4.03
Arviat,Nunavut,61.11,-94.06,December,1.19,1.1,1.18,0.96,1.24,0.23
Arviat,Nunavut,61.11,-94.06,February,4.64,4.51,4.7,4.05,5.36,1.27
Arviat,Nunavut,61.11,-94.06,January,2.2,2.05,2.19,1.79,2.35,0.41
Arviat,Nunavut,61.11,-94.06,July,3.53,5.04,4.34,5.54,8.68,5.59
Arviat,Nunavut,61.11,-94.06,June,3.79,5.38,4.62,5.93,9.21,6.04
Arviat,Nunavut,61.11,-94.06,March,6.7,6.94,6.99,6.53,9.02,3.08
Arviat,Nunavut,61.11,-94.06,May,4.92,6.14,5.6,6.45,9.38,5.94
Arviat,Nunavut,61.11,-94.06,November,2.01,1.91,2.02,1.7,2.17,0.5
Arviat,Nunavut,61.11,-94.06,October,2.23,2.31,2.33,2.19,2.73,1.17
Arviat,Nunavut,61.11,-94.06,September,2.51,3.02,2.84,3.04,3.98,2.42
Aspen Grove,BC,49.93,-120.62,Annual,2.97,4.09,3.81,4.15,5.8,3.54
Aspen Grove,BC,49.93,-120.62,April,3.43,5.04,4.61,5.21,7.14,4.71
Aspen Grove,BC,49.93,-120.62,August,3.53,5.58,4.99,5.86,8.43,5.43
Aspen Grove,BC,49.93,-120.62,December,1.69,1.64,1.73,1.45,1.91,0.76
Aspen Grove,BC,49.93,-120.62,February,2.78,2.99,3.04,2.77,3.56,1.82
Aspen Grove,BC,49.93,-120.62,January,1.92,1.9,1.99,1.7,2.21,0.97
Aspen Grove,BC,49.93,-120.62,July,3.14,5.62,4.83,6.14,9.26,6.37
Aspen Grove,BC,49.93,-120.62,June,2.92,5.3,4.52,5.83,8.75,6.08
Aspen Grove,BC,49.93,-120.62,March,3.64,4.48,4.36,4.37,5.74,3.24
Aspen Grove,BC,49.93,-120.62,May,3.07,5.17,4.51,5.57,7.95,5.6
Aspen Grove,BC,49.93,-120.62,November,2.11,2.16,2.25,1.96,2.56,1.09
Aspen Grove,BC,49.93,-120.62,October,3.39,3.86,3.87,3.64,4.8,2.32
Aspen Grove,BC,49.93,-120.62,September,3.99,5.28,5.02,5.23,7.18,3.94
Atwood,Ontario,43.67,-81.02,Annual,2.84,4.16,3.91,4.21,5.83,3.65
Atwood,Ontario,43.67,-81.02,April,3.24,5.15,4.74,5.31,7.25,4.46
Atwood,Ontario,43.67,-81.02,August,2.83,5.04,4.53,5.32,7.42,5.14
Atwood,Ontario,43.67,-81.02,December,2.07,2.06,2.17,1.84,2.43,1.19
Atwood,Ontario,43.67,-81.02,February,3.55,3.81,3.92,3.52,4.61,2.48
Atwood,Ontario,43.67,-81.02,January,2.51,2.51,2.64,2.26,3.02,1.54
Atwood,Ontario,43.67,-81.02,July,2.61,5.42,4.69,5.95,8.85,6.14
Atwood,Ontario,43.67,-81.02,June,2.55,5.41,4.64,5.98,8.88,6.03
Atwood,Ontario,43.67,-81.02,March,3.74,4.68,4.59,4.54,5.92,3.59
