Municipality,Longitude,Latitude
Sainte-Clotilde-de-Châteauguay,-73.68,45.16
Saint-Élie,-72.96,46.49
Sainte-Perpétue-de-L'Islet,-69.94,47.06
Saint-Lin--Laurentides,-73.76,45.85
Saint-Régis,-74.65,45.0
Saint-Sauveur-des-Monts,-74.17,45.9
Saint-Stanislas-de-Champlain,-72.39,46.61
Saint-Urbain-de-Charlevoix,-70.54,47.56
Salluit,-75.65,62.2
Sanikiluaq,-79.23,56.53
Saturna,-123.2,48.8
Scotland,-80.37,43.02
Seldom-Little Seldom,-54.19,49.62
Sharbot Lake,-76.69,44.77
Shilo,-99.64,49.81
Shulus,-120.85,50.13
Sop's Arm,-56.88,49.77
Spencerville,-75.54,44.84
St. André,-67.75,47.13
St. Andrew's,-59.27,47.78
St. Edward,-64.18,46.88
St. Jacobs,-80.55,43.53
St. Leonard,-67.93,47.16
Starblanket,-106.93,53.38
Stewart Crossing,-136.68,63.37
Stittsville,-75.92,45.26
Sunderland,-79.07,44.26
Sunnynook,-111.67,51.29
Swift River,-131.19,60.0
Sydenham,-76.6,44.41
Tagish,-134.27,60.31
Taloyoak,-93.52,69.54
Teslin,-132.72,60.17
Thorndale,-81.14,43.1
Tors Cove,-52.85,47.22
Trutch,-122.95,57.73
Tsiigehtchic,-133.74,67.44
Tuktoyaktuk,-133.04,69.45
Tulita,-125.58,64.9
Ulukhaktok,-117.77,70.74
Umingmaktok,-107.95,67.7
Upper Ferry,-59.25,47.84
Vernon Bridge,-62.88,46.18
Waglisla,-128.14,52.16
Walpole Island,-82.52,42.61
Wawa,-84.77,47.99
Weagamow Lake,-91.35,52.95
Wekweètì,-114.19,64.19
What??,-117.272778,63.14
Whitecap,-106.7,51.87
Whitedog,-94.93,50.13
Wild Horse,-110.22,49.0
Wrigley,-123.47,63.23
